committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,previous_file_number,amendment_indicator,amendment_number,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,candidate_office_state,candidate_office_district,candidate_party,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,election_type,election_type_full,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,most_recent,filing_date,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C00075820,NRCC,2022,24,202210269541697174,24,1650728,NEBO MEDIA,,,,PO BOX 9825,,ARLINGTON,VA,22219,1650728,N,0,MEDIA,2022-10-21 00:00:00,2022-10-25 00:00:00,6065.00,408778.25,,,O,,,H6TX15162,"GONZALEZ, VICENTE",,VICENTE,,GONZALEZ,,H,TX,34,DEM,C00592659,,,,,,,"DAVIS, KEITH A",2022-10-26 00:00:00,,,,G2022,,,,KEITH,A,DAVIS,SE24-0.139761,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102620221591745160,4102620221592299608,,,t,t,2022-10-26 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210269541697174
C00687103,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",2022,24,202210269541704460,24,1651085,PEOPLE WHO THINK,,,,4522 LA-22,STE. 7,MANDEVILLE,LA,22201,1651085,N,0,MEDIA PRODUCTION LIBRE ACTION,2022-10-25 00:00:00,2022-10-25 00:00:00,12500.00,327917.52,004,Advertising Expenses ,S,,,H2TX34113,"FLORES, MAYRA NOHEMI",,MAYRA,NOHEMI,FLORES,,H,TX,34,REP,,,,,,,,"JENTGENS, ROBERT TREASURER",2022-10-26 00:00:00,,,,G2022,,,,ROBERT,,JENTGENS,SE24.16908,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102720221592345042,4102720221592616119,,,t,t,2022-10-26 00:00:00,,,TREASURER,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210269541704460
C00687103,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",2022,24,202210259541652169,24,1649502,TALENTWAVE INC.,,,,4601 DTC BLVD.,STE 650,DENVER,CO,80237,1649502,N,0,CANVASSING,2022-10-24 00:00:00,2022-10-24 00:00:00,1500.00,315417.52,004,Advertising Expenses ,S,,,H2TX34113,"FLORES, MAYRA NOHEMI",,MAYRA,NOHEMI,FLORES,,H,TX,34,REP,,,,,,,,"JENTGENS, ROBERT TREASURER",2022-10-25 00:00:00,,,,G2022,,,,ROBERT,,JENTGENS,SE24.16824,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102620221591745025,4102620221592298233,,,t,t,2022-10-25 00:00:00,,,TREASURER,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210259541652169
C00504530,CONGRESSIONAL LEADERSHIP FUND,2022,48,202210219541492423,24,1646652,FLEXPOINT MEDIA,,,,PO BOX 1051,,NEW ALBANY,OH,43054,1646652,N,0,MEDIA PLACEMENT,2022-10-14 00:00:00,2022-10-19 00:00:00,25418.61,3058545.43,004,Advertising Expenses ,O,,,,"GONZALEZ, VICENTE",,VICENTE,,GONZALEZ,,H,TX,34,,,,,,,,,"CROSBY, CALEB",2022-10-21 00:00:00,,,,G2022,,,,CALEB,,CROSBY,001,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102120221590108150,4102120221590172678,,,t,t,2022-10-21 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210219541492423
C00495028,HOUSE MAJORITY PAC,2022,48,202210209541444493,24,1646063,WAVELENGTH STRATEGY LLC,,,,712 H ST NE,UNIT 526,WASHINGTON,DC,200023627,1646063,N,0,DIGITAL ADVERTISING - ESTIMATE,2022-10-18 00:00:00,2022-10-18 00:00:00,11875.00,1013163.00,,,S,,,H6TX15162,"GONZALEZ, VINCENTE",,VINCENTE,,GONZALEZ,,H,TX,34,DEM,,,,,,,,"WOLFF, BRIAN",2022-10-20 00:00:00,,,,G2022,,,,BRIAN,,WOLFF,VN7GDAJ0X13,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102120221590108008,4102120221590171206,,,t,t,2022-10-20 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210209541444493
C00000935,DCCC,2022,48,202210189537562937,24,1644096,PESCADOR PUBLIC STRATEGIES LLC LAURA VOLLUZ,,,,4007 MCCULLOUGH,SUITE 168,SAN ANTONIO,TX,78212,1644096,N,0,MEDIA BUY,2022-10-13 00:00:00,2022-10-18 00:00:00,92106.00,1351054.70,004,Advertising Expenses ,O,,,H2TX34113,"FLORES, MAYRA",,MAYRA,,FLORES,,H,TX,34,REP,,,,,,,,"PERSICO, TIMOTHY",2022-10-18 00:00:00,,,,G2022,,,,TIMOTHY,,PERSICO,SE-1049912,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4101920221589124003,4101920221589893206,,,t,t,2022-10-18 00:00:00,DATE OF DISSEMINATION: 10/18/22,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210189537562937
C00687103,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",2022,48,202210129532159280,24,1637158,TARGETED VICTORY LLC,,,,2311 WILSON BOULEVARD,SUITE 200,ARLINGTON,VA,22201,1637158,N,0,MEDIA PRODUCTION LIBRE ACTION,2022-10-10 00:00:00,2022-10-10 00:00:00,1700.00,232718.92,004,Advertising Expenses ,S,,,H2TX34113,"FLORES, MAYRA NOHEMI",,MAYRA,NOHEMI,FLORES,,H,TX,34,REP,,,,,,,,"JENTGENS, ROBERT TREASURER",2022-10-12 00:00:00,,,,G2022,,,,ROBERT,,JENTGENS,SE24.15079,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4101320221588039009,4101320221588119081,,,t,t,2022-10-12 00:00:00,,,TREASURER,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210129532159280
C00495028,HOUSE MAJORITY PAC,2022,48,202210209541444453,24,1646063,"PESCADOR PUBLIC STRATEGIES, LLC",,,,4007 MCCULLOUGH AVE,STE 168,SAN ANTONIO,TX,782122420,1646063,N,0,DIGITAL PRODUCTION - ESTIMATE,2022-10-18 00:00:00,2022-10-18 00:00:00,12050.00,1013163.00,,,O,,,H2TX34113,"FLORES, MAYRA NOHEMI",,MAYRA NOHEMI,,FLORES,,H,TX,34,REP,,,,,,,,"WOLFF, BRIAN",2022-10-20 00:00:00,,,,G2022,,,,BRIAN,,WOLFF,VN7GDAJ0SB5,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102120221590108008,4102120221590171126,,,t,t,2022-10-20 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210209541444453
C00504530,CONGRESSIONAL LEADERSHIP FUND,2022,48,202210079532091192,24,1635005,TARGETED VICTORY,,,,2311 WILSON BLVD,SUITE 200,ARLINGTON,VA,22201,1635005,N,0,DIGITAL PLACEMENT,2022-10-05 00:00:00,2022-10-05 00:00:00,100000.00,2482234.34,004,Advertising Expenses ,S,,,,"FLORES, MAYRA",,MAYRA,,FLORES,,H,TX,34,,,,,,,,,"CROSBY, CALEB",2022-10-07 00:00:00,,,,G2022,,,,CALEB,,CROSBY,005,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4100720221587750121,4100720221587775616,,,t,t,2022-10-07 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210079532091192
C00821975,ENERGIZE OUR FUTURE,2022,24,202210269541663929,24,1650101,RESOLVE CAMPAIGNS LLC,,,,P.O. BOX 90983,1604 OLD FREDRICKSBURG RD,AUSTIN,TX,78709,1650101,N,0,PRODUCTION COST: DIGITAL ADS,2022-10-25 00:00:00,2022-10-25 00:00:00,5000.00,5000.00,,,S,,,H2TX34113,"FLORES, MAYRA NOHEMI",,MAYRA NOHEMI,,FLORES,,H,TX,34,REP,C00821975,,,,,,,"GANTT, CHARLES",2022-10-26 00:00:00,,,,G2022,,,,CHARLES,,GANTT,SE.4139,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102620221591745093,4102620221592298782,,,t,t,2022-10-26 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210269541663929
