committee_name,report_year,payee_name,payee_state,expenditure_description,expenditure_date,expenditure_amount,support_oppose_indicator,candidate_name,candidate_office,candidate_party
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-07T00:00:00Z,997.11,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,LYFT,CA,TRAVEL,2022-02-17T00:00:00Z,30.93,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,UNITED AIRLINES,IL,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-25T00:00:00Z,880.71,S,"CISNEROS, JESSICA",H,DEM
IN UNION USA,2022,"DELIVER STRATEGIES, LLC",VA,DIRECT MAIL PROGRAM,2022-02-17T00:00:00Z,13638.07,S,"CISNEROS, JESSICA",H,DEM
A STRONGER TEXAS FUND,2022,ALPHA GRAPHICS LAREDO,TX,SANDRA WHITTEN SIGNS,2022-03-01T00:00:00Z,381.56,S,"WHITTEN, SANDRA",H,NA
MIJENTE PAC,2022,AMERICAN AIRLINES,TX,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-22T00:00:00Z,687.59,S,"CISNEROS, JESSICA",H,DEM
JUSTICE DEMOCRATS PAC,2022,THE BASELINE AGENCY,DC,NON-CONTRIBUTION ACCOUNT - DIRECT MAIL SERVICE,2022-05-12T00:00:00Z,10050.04,S,"CISNEROS, JESSICA",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,ESTIMATED EXPENSES FOR PHONE BANKING (2/13 THROUGH 2/19),2022-02-13T00:00:00Z,10000,S,"CISNEROS, JESSICA",H,DEM
UNITED DEMOCRACY PROJECT (UDP),2022,MVAR MEDIA LLC,VA,MEDIA PRODUCTION,2022-05-19T00:00:00Z,8061.5,O,"CISNEROS, JESSICA",H,NA
WOMEN VOTE!,2022,THE PIVOT GROUP,DC,MAIHOUSE,2022-05-12T00:00:00Z,9361.67,S,"CISNEROS, JESSICA",H,DEM
JUSTICE DEMOCRATS PAC,2022,TOP MARKS MEDIA LLC,DC,NON-CONTRIBUTION ACCOUNT - DIGITAL BUY,2022-05-24T00:00:00Z,7000,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,FEQOR PRESS,GA,NON-CONTRIBUTION ACCOUNT: PRINTING OF MATERIALS FOR TSHIRTS,2022-02-10T00:00:00Z,1038.76,S,"CISNEROS, JESSICA",H,DEM
LCV VICTORY FUND,2022,POTOMAC WAVES LLC,DC,RADIO AD BUY,2022-05-02T00:00:00Z,74790,S,"CISNEROS, JESSICA",H,DEM
UNITED DEMOCRACY PROJECT (UDP),2022,OURSO BEYCHOK INC,LA,DIRECT MAIL,2022-05-17T00:00:00Z,26520,S,"CUELLAR, HENRY",H,DEM
UNITED DEMOCRACY PROJECT (UDP),2022,WATERFRONT STRATEGIES INC,DC,MEDIA PLACEMENT,2022-04-28T00:00:00Z,199723,O,"CISNEROS, JESSICA",H,NA
WFP NATIONAL PAC,2022,COMMUNITY LABOR ADMINISTRATIVE SERVICES,NY,TEXTING,2022-02-10T00:00:00Z,84.88,S,"CISNEROS, JESSICA",H,DEM
TEXAS ORGANIZING PROJECT POLITICAL ACTION COMMITTEE,2022,DUABLE BRAND TRUST,TX,GRAPHIC DESIGN (ESTIMATE),2022-04-19T00:00:00Z,406.98,S,"CISNEROS, JESSICA",H,DEM
UNITED DEMOCRACY PROJECT (UDP),2022,WATERFRONT STRATEGIES INC,DC,MEDIA PLACEMENT,2022-05-03T00:00:00Z,366425,O,"CISNEROS, JESSICA",H,NA
CONGRESSIONAL LEADERSHIP FUND,2022,FLEXPOINT MEDIA INC,OH,MEDIA PLACEMENT,2022-05-26T00:00:00Z,160445.65,S,"FLORES, MAYRA",H,NA
WFP NATIONAL PAC,2022,TEXAS TOOLBELT,TX,IN PERSON CANVASSING,2022-04-11T00:00:00Z,219324,S,"CISNEROS, JESSICA",H,DEM
"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",2022,TARGETED VICTORY LLC,VA,MEDIA PRODUCTION LIBRE ACTION,2022-08-15T00:00:00Z,1000,S,"FLORES, MAYRA",H,REP
"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",2022,TARGETED VICTORY LLC,VA,LIBRE DIGITAL AD PRODUCTION,2022-07-13T00:00:00Z,700,S,"DE LA CRUZ, MONICA",H,REP
"GREENPEACE, INC.",2022,REWIRED LLC,NY,NA,2022-05-06T00:00:00Z,10,S,"CISNEROS, JESSICA",H,DEM
