committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00770180,CORNYN VICTORY COMMITTEE,2022,Q1,202204159496285331,22,SB22.16,1583684,CCM,CAMPAIGN COMMITTEE,C00473371,C00473371,HOEVEN FOR SENATE,ND,,,24G,TRANSFER OUT AFFILIATED,TRANSFER TO AUTH CMTEE OF NET JOINT FUNDRAISING PROCEEDS,,,2022-03-30 00:00:00,55218.31,S,SENATE,,S0ND00093,"HOEVEN, JOHN SEN",JOHN,HOEVEN,,SEN,,ND,NORTH DAKOTA,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-04-29 03:35:46.2,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4041520221470815278,BISMARCK,58501,TRANSFERS,,2022,SB,4042820221473194078,https://docquery.fec.gov/cgi-bin/fecimg/?202204159496285331,Transfers to Affiliated/Other Party Committees,,,,,,
C00770180,CORNYN VICTORY COMMITTEE,2022,Q1,202204159496285338,22,SB22.1,1583684,PAC,POLITICAL ACTION COMMITTEE,C00387464,C00387464,ALAMO PAC,TX,,,24G,TRANSFER OUT AFFILIATED,TRANSFER TO AUTH CMTEE OF NET JOINT FUNDRAISING PROCEEDS,,,2022-03-30 00:00:00,31141.42,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2022-04-29 03:35:46.204,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4041520221470815278,AUSTIN,78701,TRANSFERS,,2022,SB,4042820221473194097,https://docquery.fec.gov/cgi-bin/fecimg/?202204159496285338,Transfers to Affiliated/Other Party Committees,,,,,,
C00770180,CORNYN VICTORY COMMITTEE,2021,YE,202203109493763807,22,SB22.15,1573277,CCM,CAMPAIGN COMMITTEE,C00473371,C00473371,HOEVEN FOR SENATE,ND,,,24G,TRANSFER OUT AFFILIATED,TRANSFER TO AUTH CMTEE OF NET JOINT FUNDRAISING PROCEEDS,,,2021-12-28 00:00:00,54417.82,S,SENATE,,S0ND00093,"HOEVEN, JOHN SEN",JOHN,HOEVEN,,SEN,,ND,NORTH DAKOTA,P2022,,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-03-12 03:48:49.339,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4031020221460440023,BISMARCK,58501,TRANSFERS,,2022,SB,4031120221460608756,https://docquery.fec.gov/cgi-bin/fecimg/?202203109493763807,Transfers to Affiliated/Other Party Committees,,,,,,
C00770180,CORNYN VICTORY COMMITTEE,2021,Q3,202110159467345314,22,SB22.19,1542951,CCM,CAMPAIGN COMMITTEE,C00620518,C00620518,MARCO RUBIO FOR SENATE,VA,,,24G,TRANSFER OUT AFFILIATED,TRANSFER TO AUTH CMTEE OF NET JOINT FUNDRAISING PROCEEDS,,,2021-09-29 00:00:00,75987.74,S,SENATE,,S0FL00338,"RUBIO, MARCO SEN",MARCO,RUBIO,,SEN,,FL,FLORIDA,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2021-10-19 03:51:37.736,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4101620211373837054,ALEXANDRIA,22314,TRANSFERS,,2022,SB,4101920211374021290,https://docquery.fec.gov/cgi-bin/fecimg/?202110159467345314,Transfers to Affiliated/Other Party Committees,,,,,,
C00770180,CORNYN VICTORY COMMITTEE,2021,Q3,202110159467345309,22,SB22.15,1542951,CCM,CAMPAIGN COMMITTEE,C00476317,C00476317,BOOZMAN FOR ARKANSAS,AR,,,24G,TRANSFER OUT AFFILIATED,TRANSFER TO AUTH CMTEE OF NET JOINT FUNDRAISING PROCEEDS,,,2021-09-29 00:00:00,68249.74,S,SENATE,,S0AR00150,"BOOZMAN, JOHN SEN",JOHN,BOOZMAN,,SEN,,AR,ARKANSAS,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2021-10-19 03:51:37.735,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4101620211373837054,ROGERS,72757,TRANSFERS,,2022,SB,4101920211374021273,https://docquery.fec.gov/cgi-bin/fecimg/?202110159467345309,Transfers to Affiliated/Other Party Committees,,,,,,
C00770180,CORNYN VICTORY COMMITTEE,2021,YE,202203109493763805,22,SB22.11,1573277,CCM,CAMPAIGN COMMITTEE,C00459255,C00459255,FRIENDS OF TODD YOUNG INC,IN,,,24G,TRANSFER OUT AFFILIATED,TRANSFER TO AUTH CMTEE OF NET JOINT FUNDRAISING PROCEEDS,,,2021-12-28 00:00:00,50384.49,S,SENATE,,S6IN00191,"YOUNG, TODD SEN",TODD,YOUNG,,SEN,,IN,INDIANA,P2022,,PRIMARY,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-03-12 03:48:49.339,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4031020221460440023,CARMEL,46082,TRANSFERS,,2022,SB,4031120221460608750,https://docquery.fec.gov/cgi-bin/fecimg/?202203109493763805,Transfers to Affiliated/Other Party Committees,,,,,,
C00770180,CORNYN VICTORY COMMITTEE,2021,Q2,202107159451098060,22,SB22.26,1525996,CCM,CAMPAIGN COMMITTEE,C00496075,C00496075,RAND PAUL FOR US SENATE,KY,,,24G,TRANSFER OUT AFFILIATED,TRANSFER TO AUTH CMTEE OF NET JOINT FUNDRAISING PROCEEDS,,,2021-06-30 00:00:00,19092.67,S,SENATE,,,"PAUL, RAND SEN",RAND,PAUL,,SEN,,KY,KENTUCKY,G2022,,GENERAL,2022,A,ADD,ITEMIZED DISBURSEMENTS,2021-07-16 04:54:28.813,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4071620211320734100,NEWPORT,41072,TRANSFERS,,2022,SB,4071620211320845068,https://docquery.fec.gov/cgi-bin/fecimg/?202107159451098060,Transfers to Affiliated/Other Party Committees,,,,,,
C00770180,CORNYN VICTORY COMMITTEE,2022,Q1,202204159496285337,22,SB22.33,1583684,CCM,CAMPAIGN COMMITTEE,C00540302,C00540302,TIM SCOTT FOR SENATE,SC,,,24G,TRANSFER OUT AFFILIATED,TRANSFER TO AUTH CMTEE OF NET JOINT FUNDRAISING PROCEEDS,,,2022-03-30 00:00:00,23844.29,S,SENATE,,S4SC00240,"SCOTT, TIM SEN",TIM,SCOTT,,SEN,,SC,SOUTH CAROLINA,G2022,,GENERAL,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-04-29 03:35:46.204,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4041520221470815278,CHARLESTON,29407,TRANSFERS,,2022,SB,4042820221473194096,https://docquery.fec.gov/cgi-bin/fecimg/?202204159496285337,Transfers to Affiliated/Other Party Committees,,,,,,
C00770180,CORNYN VICTORY COMMITTEE,2021,Q3,202110159467345314,22,SB22.18,1542951,CCM,CAMPAIGN COMMITTEE,C00384529,C00384529,LISA MURKOWSKI FOR US SENATE,AK,,,24G,TRANSFER OUT AFFILIATED,TRANSFER TO AUTH CMTEE OF NET JOINT FUNDRAISING PROCEEDS,,,2021-09-29 00:00:00,15409.48,S,SENATE,,S4AK00099,"MURKOWSKI, LISA SEN",LISA,MURKOWSKI,,SEN,,AK,ALASKA,G2022,,GENERAL,2022,A,ADD,ITEMIZED DISBURSEMENTS,2021-10-19 03:51:37.736,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4101620211373837054,ANCHORAGE,99510,TRANSFERS,,2022,SB,4101920211374021289,https://docquery.fec.gov/cgi-bin/fecimg/?202110159467345314,Transfers to Affiliated/Other Party Committees,,,,,,
C00770180,CORNYN VICTORY COMMITTEE,2021,Q3,202110159467345315,22,SB22.10,1542951,CCM,CAMPAIGN COMMITTEE,C00330886,C00330886,MIKE CRAPO FOR US SENATE,ID,,,24G,TRANSFER OUT AFFILIATED,TRANSFER TO AUTH CMTEE OF NET JOINT FUNDRAISING PROCEEDS,,,2021-09-28 00:00:00,20091.50,S,SENATE,,S8ID00027,"CRAPO, MIKE SEN",MIKE,CRAPO,,SEN,,ID,IDAHO,G2022,,GENERAL,2022,A,ADD,ITEMIZED DISBURSEMENTS,2021-10-19 03:51:37.736,,,,0.00,,,,,,,,,,,,N,"",J,F3X,4101620211373837054,BOISE,83705,TRANSFERS,,2022,SB,4101920211374021292,https://docquery.fec.gov/cgi-bin/fecimg/?202110159467345315,Transfers to Affiliated/Other Party Committees,,,,,,
