committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,previous_file_number,amendment_indicator,amendment_number,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,candidate_office_state,candidate_office_district,candidate_party,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,election_type,election_type_full,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,most_recent,filing_date,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C00488486,COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,48,202201289475357184,24,1561292,TEXAS TOOL BELT,,,,6717 MOUNT CARMEL ST,,HOUSTON,TX,770876623,1561292,N,0,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-07 00:00:00,2022-01-13 00:00:00,997.11,19034.00,004,Advertising Expenses ,S,,,H0TX28077,"CISNEROS, JESSICA",,JESSICA,,CISNEROS,,H,TX,28,DEM,,,,,,,,"STEFFENS, SARA",2022-01-28 00:00:00,,,,P2022,,,,SARA,,STEFFENS,500021463,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4012920221403614000,4012920221403637017,,,t,t,2022-01-28 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202201289475357184
C00738039,MIJENTE PAC,2022,24,202202189491801895,24,1570730,LYFT,,,,185 BERRY ST,STE 5000,SAN FRANCISCO,CA,941072503,1570730,N,0,TRAVEL,2022-02-17 00:00:00,2022-02-17 00:00:00,30.93,13232.75,,,S,,,H0TX28077,"CISNEROS, JESSICA",,JESSICA,,CISNEROS,,H,TX,28,DEM,,,,,,,,"STANGER, HOWIE",2022-02-18 00:00:00,,,,P2022,,,,HOWIE,,STANGER,500001119,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4021820221409064012,4021820221409129696,,,t,t,2022-02-18 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202202189491801895
C00738039,MIJENTE PAC,2022,24,202202269493725625,24,1572016,UNITED AIRLINES,,,,233 S WACKER DR,,CHICAGO,IL,606067147,1572016,N,0,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-25 00:00:00,2022-02-25 00:00:00,880.71,54615.95,,,S,,,H0TX28077,"CISNEROS, JESSICA",,JESSICA,,CISNEROS,,H,TX,28,DEM,,,,,,,,"STANGER, HOWIE",2022-02-26 00:00:00,,,,P2022,,,,HOWIE,,STANGER,500001175,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4022720221453526005,4022720221453545025,,,t,t,2022-02-26 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202202269493725625
C00745745,IN UNION USA,2022,24,202202179491757031,24,1569602,"DELIVER STRATEGIES, LLC",,,,PO BOX 100970,,ARLINGTON,VA,22210,1569602,N,0,DIRECT MAIL PROGRAM,2022-02-17 00:00:00,2022-02-17 00:00:00,13638.07,47097.61,004,Advertising Expenses ,S,,,H0TX28077,"CISNEROS, JESSICA",,JESSICA,,CISNEROS,,H,TX,28,DEM,C00745745,,,,,,,"FULLMER, JENNA",2022-02-17 00:00:00,,,,P2022,,,,JENNA,,FULLMER,SE.4705,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4021720221408691003,4021720221409032203,,,t,t,2022-02-17 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202202179491757031
C00675397,A STRONGER TEXAS FUND,2022,24,202206079514735915,24,1600571,ALPHA GRAPHICS LAREDO,,,,901 VICTORIA ST. STE C,,LAREDO,TX,78040,1600571,N,0,SANDRA WHITTEN SIGNS,2022-03-01 00:00:00,2022-03-01 00:00:00,381.56,26113.69,004,Advertising Expenses ,S,,,,"WHITTEN, SANDRA",,SANDRA,,WHITTEN,,H,TX,28,,C00675397,,,,,,,"BOX, ANGELA",2022-06-07 00:00:00,,,,P2022,,,,ANGELA,,BOX,SE.4351,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4060720221500812004,4060720221500855409,,,t,t,2022-06-07 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202206079514735915
C00738039,MIJENTE PAC,2022,24,202202239493673762,24,1571588,AMERICAN AIRLINES,,,,1 SKYVIEW DR,,FORT WORTH,TX,761551801,1571588,N,0,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-22 00:00:00,2022-02-22 00:00:00,687.59,18185.29,,,S,,,H0TX28077,"CISNEROS, JESSICA",,JESSICA,,CISNEROS,,H,TX,28,DEM,,,,,,,,"STANGER, HOWIE",2022-02-23 00:00:00,,,,P2022,,,,HOWIE,,STANGER,500001154,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4022420221452960000,4022420221453285005,,,t,t,2022-02-23 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202202239493673762
C00630665,JUSTICE DEMOCRATS PAC,2022,24,202205139502845911,24,1594306,THE BASELINE AGENCY,,,,1835 7TH ST NW,# 203,WASHINGTON,DC,200013107,1594306,N,0,NON-CONTRIBUTION ACCOUNT - DIRECT MAIL SERVICE,2022-05-12 00:00:00,2022-05-13 00:00:00,10050.04,142467.89,004,Advertising Expenses ,S,,,H0TX28077,"CISNEROS, JESSICA",,JESSICA,,CISNEROS,,H,TX,28,DEM,,,,,,,,"TRENT, NATALIE",2022-05-13 00:00:00,,,,R2022,RUNOFF,,,NATALIE,,TRENT,VVAEWARAM24,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4051420221486407005,4051420221486517320,,,t,t,2022-05-13 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202205139502845911
C00488486,COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,48,202202149491738819,24,1568855,TEXAS TOOL BELT,,,,6717 MOUNT CARMEL ST,,HOUSTON,TX,770876623,1568855,N,0,ESTIMATED EXPENSES FOR PHONE BANKING (2/13 THROUGH 2/19),2022-02-13 00:00:00,2022-02-13 00:00:00,10000.00,245523.02,004,Advertising Expenses ,S,,,H0TX28077,"CISNEROS, JESSICA",,JESSICA,,CISNEROS,,H,TX,28,DEM,,,,,,,,"STEFFENS, SARA",2022-02-14 00:00:00,,,,P2022,,,,SARA,,STEFFENS,500021526,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4021420221407615014,4021420221407686358,,,t,t,2022-02-14 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202202149491738819
C00799031,UNITED DEMOCRACY PROJECT (UDP),2022,24,202205209512545468,24,1596946,MVAR MEDIA LLC,,,,1421 PRINCE ST,STE 320,ALEXANDRIA,VA,223142805,1596946,N,0,MEDIA PRODUCTION,2022-05-19 00:00:00,2022-05-19 00:00:00,8061.50,1846634.34,,,O,,,,"CISNEROS, JESSICA",,JESSICA,,CISNEROS,,H,TX,28,,,,,,,,,"D'ALESSIO, CHRIS",2022-05-20 00:00:00,,,,O2022,RUNOFF,,,CHRIS,,D'ALESSIO,E4DA1B89B64154337AC9,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4052020221492736033,4052020221492780276,,,t,t,2022-05-20 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202205209512545468
C00473918,WOMEN VOTE!,2022,24,202205139502830716,24,1594108,THE PIVOT GROUP,,,,1509 16TH ST NW,,WASHINGTON,DC,200361461,1594108,N,0,MAIHOUSE,2022-05-12 00:00:00,2022-05-13 00:00:00,9361.67,193649.59,004,Advertising Expenses ,S,,,H0TX28077,"CISNEROS, JESSICA",,JESSICA,,CISNEROS,,H,TX,28,DEM,,,,,,,,"ROBINSON, DENELLE",2022-05-13 00:00:00,,,,R2022,RUNOFF,,,DENELLE,,ROBINSON,VN7A7AHF8C2,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4051320221484813017,4051320221485337377,,,t,t,2022-05-13 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202205139502830716
